Date, FuelUsed
2010-11-15 00:00:00,4882
2010-11-16 00:00:00,6438
2010-11-17 00:00:00,6892
2010-11-18 00:00:00,6827
2010-11-19 00:00:00,5379
2010-11-20 00:00:00,1130
2010-11-21 00:00:00,360
2010-11-22 00:00:00,5429
2010-11-23 00:00:00,6200
2010-11-24 00:00:00,5618
2010-11-25 00:00:00,7010
2010-11-26 00:00:00,5391
2010-11-27 00:00:00,2006
2010-11-28 00:00:00,115
2010-11-29 00:00:00,5393
2010-11-30 00:00:00,5981
2010-12-01 00:00:00,4814
2010-12-02 00:00:00,2111
2010-12-03 00:00:00,1948
2010-12-04 00:00:00,986
2010-12-05 00:00:00,672
2010-12-06 00:00:00,5920
2010-12-07 00:00:00,7186
2010-12-08 00:00:00,6487
2010-12-09 00:00:00,6805
2010-12-10 00:00:00,6507
2010-12-11 00:00:00,2080
2010-12-12 00:00:00,613
2010-12-13 00:00:00,6510
2010-12-14 00:00:00,7891
2010-12-15 00:00:00,7428
2010-12-16 00:00:00,7041
2010-12-17 00:00:00,6736
2010-12-18 00:00:00,1717
2010-12-19 00:00:00,775
2010-12-20 00:00:00,5551
2010-12-21 00:00:00,6184
2010-12-22 00:00:00,6418
2010-12-23 00:00:00,4898
2010-12-24 00:00:00,2627
2010-12-27 00:00:00,120
2010-12-28 00:00:00,482
2010-12-29 00:00:00,1746
2010-12-30 00:00:00,2250
2010-12-31 00:00:00,2133
2011-01-03 00:00:00,1495
2011-01-04 00:00:00,4497
2011-01-05 00:00:00,5696
2011-01-06 00:00:00,6247
2011-01-07 00:00:00,5313
2011-01-08 00:00:00,994
2011-01-09 00:00:00,491
2011-01-10 00:00:00,5182
2011-01-11 00:00:00,7094
2011-01-12 00:00:00,6608
2011-01-13 00:00:00,6364
2011-01-14 00:00:00,5601
2011-01-15 00:00:00,1295
2011-01-16 00:00:00,240
2011-01-17 00:00:00,4992
2011-01-18 00:00:00,7421
2011-01-19 00:00:00,6704
2011-01-20 00:00:00,7045
2011-01-21 00:00:00,6097
2011-01-22 00:00:00,1645
2011-01-23 00:00:00,424
2011-01-24 00:00:00,5316
2011-01-25 00:00:00,6545
2011-01-26 00:00:00,5545
2011-01-27 00:00:00,5913
2011-01-28 00:00:00,5177
2011-01-29 00:00:00,941
2011-01-30 00:00:00,281
2011-01-31 00:00:00,5335
2011-02-01 00:00:00,6245
2011-02-02 00:00:00,6736
2011-02-03 00:00:00,5851
2011-02-04 00:00:00,6775
2011-02-05 00:00:00,1900
2011-02-06 00:00:00,38
2011-02-07 00:00:00,6203
2011-02-08 00:00:00,7389
2011-02-09 00:00:00,6344
2011-02-10 00:00:00,6860
2011-02-11 00:00:00,7112
2011-02-12 00:00:00,2097
2011-02-13 00:00:00,673
2011-02-14 00:00:00,5504
2011-02-15 00:00:00,6777
2011-02-16 00:00:00,6591
2011-02-17 00:00:00,5905
2011-02-18 00:00:00,5667
2011-02-19 00:00:00,1932
2011-02-20 00:00:00,262
2011-02-21 00:00:00,5200
2011-02-22 00:00:00,7040
2011-02-23 00:00:00,6186
2011-02-24 00:00:00,6381
2011-02-25 00:00:00,5486
2011-02-26 00:00:00,1750
2011-02-27 00:00:00,926
2011-02-28 00:00:00,5466
2011-03-01 00:00:00,6419
2011-03-02 00:00:00,6302
2011-03-03 00:00:00,6473
2011-03-04 00:00:00,6249
2011-03-05 00:00:00,1396
2011-03-06 00:00:00,796
2011-03-07 00:00:00,6201
2011-03-08 00:00:00,6248
2011-03-09 00:00:00,6413
2011-03-10 00:00:00,6018
2011-03-11 00:00:00,5777
2011-03-12 00:00:00,1464
2011-03-13 00:00:00,520
2011-03-14 00:00:00,5370
2011-03-15 00:00:00,6167
2011-03-16 00:00:00,6524
2011-03-17 00:00:00,6038
2011-03-18 00:00:00,6046
2011-03-19 00:00:00,2276
2011-03-20 00:00:00,358
2011-03-21 00:00:00,5499
2011-03-22 00:00:00,6238
2011-03-23 00:00:00,6498
2011-03-24 00:00:00,6463
2011-03-25 00:00:00,6155
2011-03-26 00:00:00,1069
2011-03-27 00:00:00,432
2011-03-28 00:00:00,4321
2011-03-29 00:00:00,6605
2011-03-30 00:00:00,5947
2011-03-31 00:00:00,7118
2011-04-01 00:00:00,6151
2011-04-02 00:00:00,1705
2011-04-03 00:00:00,539
2011-04-04 00:00:00,6236
2011-04-05 00:00:00,7005
2011-04-06 00:00:00,6368
2011-04-07 00:00:00,5961
2011-04-08 00:00:00,2219
2011-04-10 00:00:00,394
2011-04-11 00:00:00,5845
2011-04-12 00:00:00,7056
2011-04-13 00:00:00,6742
2011-04-14 00:00:00,5941
2011-04-15 00:00:00,6127
2011-04-16 00:00:00,1805
2011-04-17 00:00:00,643
2011-04-18 00:00:00,6167
2011-04-19 00:00:00,6770
2011-04-20 00:00:00,6090
2011-04-21 00:00:00,1898
2011-04-25 00:00:00,3170
2011-04-26 00:00:00,6348
2011-04-27 00:00:00,6604
2011-04-28 00:00:00,7029
2011-04-29 00:00:00,3104
2011-04-30 00:00:00,753
2011-05-01 00:00:00,115
2011-05-02 00:00:00,1893
2011-05-03 00:00:00,5438
2011-05-04 00:00:00,6892
2011-05-05 00:00:00,6214
2011-05-06 00:00:00,5626
2011-05-07 00:00:00,970
2011-05-08 00:00:00,578
2011-05-09 00:00:00,6142
2011-05-10 00:00:00,6818
2011-05-11 00:00:00,6278
2011-05-12 00:00:00,5156
2011-05-13 00:00:00,6105
2011-05-14 00:00:00,1214
2011-05-15 00:00:00,553
2011-05-16 00:00:00,6046
2011-05-17 00:00:00,7436
2011-05-18 00:00:00,6201
2011-05-19 00:00:00,6131
2011-05-20 00:00:00,6239
2011-05-21 00:00:00,1289
2011-05-22 00:00:00,779
2011-05-23 00:00:00,5422
2011-05-24 00:00:00,6405
2011-05-25 00:00:00,7203
2011-05-26 00:00:00,6975
2011-05-27 00:00:00,6442
2011-05-28 00:00:00,1629
2011-05-29 00:00:00,54
2011-05-30 00:00:00,1380
2011-05-31 00:00:00,5195
2011-06-01 00:00:00,7520
2011-06-02 00:00:00,7091
2011-06-03 00:00:00,6798
2011-06-04 00:00:00,1956
2011-06-05 00:00:00,641
2011-06-06 00:00:00,5684
2011-06-07 00:00:00,6670
2011-06-08 00:00:00,6824
2011-06-09 00:00:00,7381
2011-06-10 00:00:00,6189
2011-06-11 00:00:00,1557
2011-06-12 00:00:00,199
2011-06-13 00:00:00,6074
2011-06-14 00:00:00,6301
2011-06-15 00:00:00,6925
2011-06-16 00:00:00,6178
2011-06-17 00:00:00,5976
2011-06-18 00:00:00,1307
2011-06-19 00:00:00,1521
2011-06-20 00:00:00,5119
2011-06-21 00:00:00,5619
2011-06-22 00:00:00,5934
2011-06-23 00:00:00,6106
2011-06-24 00:00:00,5783
2011-06-25 00:00:00,1690
2011-06-26 00:00:00,324
2011-06-27 00:00:00,6126
2011-06-28 00:00:00,6428
2011-06-29 00:00:00,6514
2011-06-30 00:00:00,6852
2011-07-01 00:00:00,6500
2011-07-02 00:00:00,1502
2011-07-03 00:00:00,452
2011-07-04 00:00:00,5490
2011-07-05 00:00:00,6408
2011-07-06 00:00:00,6726
2011-07-07 00:00:00,6363
